"from: ","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","on: ","2018-10-10","using: wikitableScrape.py"
"Rank","Country(or dependent territory)","Population","Date","% of worldpopulation","Source"
"1","China","1,394,530,000","October 10, 2018","18.2%","Official population clock"
"2","India","1,338,050,000","October 10, 2018","17.5%","Official population clock"
"3","United States","327,975,000","October 10, 2018","4.28%","Official population clock"
"4","Indonesia","265,015,300","July 1, 2018","3.46%","Official annual projection"
"5","Brazil","209,694,000","October 10, 2018","2.74%","Official population clock"
"6","Pakistan","202,279,000","October 10, 2018","2.64%","Official population clock"
"7","Nigeria","193,392,517","July 1, 2016","2.53%","Official estimate"
"8","Bangladesh","165,334,000","October 10, 2018","2.16%","Official population clock"
"9","Russia","146,877,088","January 1, 2018","1.92%","Official estimate"
"10","Japan","126,420,000","September 1, 2018","1.65%","Monthly provisional estimate"
"11","Mexico","124,737,789","July 1, 2018","1.63%","Official annual projection"
"12","Ethiopia","107,534,882","July 1, 2018","1.4%","UN Projection"
"13","Philippines","106,588,000","October 10, 2018","1.39%","Official population clock"
"14","Egypt","97,702,500","October 10, 2018","1.28%","Official population clock"
"15","Vietnam","94,660,000","July 1, 2018","1.24%","Official annual estimate"
"16","DR Congo","84,004,989","July 1, 2018","1.1%","UN Projection"
"17","Germany","82,792,400","December 31, 2017","1.08%","Official annual data"
"18","Iran","81,857,800","October 10, 2018","1.07%","Official population clock"
"19","Turkey","80,810,525","December 31, 2017","1.06%","Official estimate"
"20","Thailand","69,183,173","July 1, 2018","0.9%","UN Projection"
"21","France","67,323,000","September 1, 2018","0.88%","Monthly official estimate"
"22","United Kingdom","66,040,229","June 30, 2017","0.86%","Official annual estimate"
"23","Italy","60,421,460","April 30, 2018","0.79%","Monthly official estimate"
"24","South Africa","57,725,600","July 1, 2018","0.75%","Official annual estimate"
"25","Tanzania","54,199,163","July 1, 2018","0.71%","Official annual projection"
"26","Myanmar","53,862,731","July 1, 2018","0.7%","Official annual projection"
"27","South Korea","51,635,256","July 1, 2018","0.67%","Official annual estimate"
"28","Kenya","50,950,879","July 1, 2018","0.67%","UN projection"
"29","Colombia","49,984,900","October 10, 2018","0.653%","Official population clock"
"30","Spain","46,659,302","January 1, 2018","0.61%","Official estimate"
"31","Argentina","44,494,502","July 1, 2018","0.58%","Official annual projection"
"32","Algeria","42,545,964","July 1, 2018","0.56%","Official annual projection"
"33","Ukraine","42,248,129","August 1, 2018","0.55%","Monthly official estimate"
"34","Sudan","40,893,760","October 10, 2018","0.53%","Official population clock"
"35","Iraq","39,339,753","July 1, 2018","0.51%","UN projection"
"36","Uganda","38,823,100","July 1, 2018","0.51%","Official annual projection"
"37","Poland","38,433,600","December 31, 2017","0.5%","Official estimate"
"38","Canada","37,249,600","October 10, 2018","0.487%","Official population clock"
"39","Morocco","34,810,200","October 10, 2018","0.455%","Official population clock"
"40","Saudi Arabia","33,413,660","January 1, 2018","0.44%","Official estimate"
"41","Uzbekistan","32,653,900","January 1, 2018","0.43%","Official annual estimate"
"42","Malaysia","32,490,500","October 10, 2018","0.424%","Official population clock"
"43","Peru","32,162,184","June 30, 2018","0.42%","Official estimate"
"44","Venezuela","31,828,110","July 1, 2018","0.42%","Official annual projection"
"45","Afghanistan","31,575,018","July 1, 2018","0.41%","Official annual estimate"
"46","Ghana","29,614,337","January 1, 2018","0.39%","Official projection"
"47","Angola","29,250,009","January 1, 2018","0.38%","Official projection"
"48","Nepal","29,218,867","July 1, 2018","0.38%","Official annual projection"
"49","Yemen","28,915,284","July 1, 2018","0.38%","UN projection"
"50","Mozambique","28,861,863","August 1, 2017","0.38%","Official census result"
"51","Madagascar","26,262,810","July 1, 2018","0.34%","UN projection"
"52","North Korea","25,610,672","July 1, 2018","0.33%","UN projection"
"53","Australia","25,087,400","October 10, 2018","0.328%","Official population clock"
"54","Ivory Coast","24,571,044","July 1, 2017","0.32%","Official estimate"
"55","Cameroon","23,794,164","January 1, 2018","0.31%","Official annual projection"
"56","Taiwan","23,577,271","August 1, 2018","0.31%","Monthly official estimate"
"57","Niger","21,466,863","July 1, 2018","0.28%","Official annual projection"
"58","Sri Lanka","21,444,000","July 1, 2017","0.28%","Official estimate"
"59","Burkina Faso","20,244,080","July 1, 2018","0.26%","Official annual projection"
"60","Romania","19,524,000","January 1, 2018","0.26%","Official annual estimate"
"61","Mali","19,107,706","July 1, 2018","0.25%","UN projection"
"62","Kazakhstan","18,292,700","August 1, 2018","0.24%","Official estimate"
"63","Syria","18,284,407","July 1, 2018","0.24%","UN projection"
"64","Malawi","17,931,637","July 1, 2018","0.23%","Official annual projection"
"65","Chile","17,574,003","April 19, 2017","0.23%","Final or definitive 2017 census result"
"66","Guatemala","17,302,084","July 1, 2018","0.23%","Official annual projection"
"67","Netherlands","17,261,400","October 10, 2018","0.225%","Official population clock"
"68","Ecuador","17,091,600","October 10, 2018","0.223%","Official population clock"
"69","Zambia","16,887,720","July 1, 2018","0.22%","Official annual projection"
"70","Cambodia","16,069,921","July 1, 2018","0.21%","Official annual projection"
"71","Senegal","15,726,037","July 1, 2018","0.21%","Official annual projection"
"72","Chad","15,353,184","July 1, 2018","0.2%","UN projection"
"73","Somalia","15,181,925","July 1, 2018","0.2%","UN projection"
"74","Zimbabwe","14,848,905","July 1, 2018","0.19%","Official annual projection"
"75","South Sudan","12,323,419","July 1, 2018","0.16%","Official annual projection"
"76","Rwanda","12,001,136","July 1, 2018","0.16%","Official projection annual"
"77","Guinea","11,883,516","July 1, 2018","0.16%","Official projection"
"78","Tunisia","11,446,300","July 1, 2017","0.15%","Official estimate"
"79","Belgium","11,420,163","August 1, 2018","0.15%","Monthly official estimate"
"80","Benin","11,362,269","July 1, 2018","0.15%","Official projection"
"81","Bolivia","11,307,314","July 1, 2018","0.15%","Official projection annual"
"82","Cuba","11,221,060","December 31, 2017","0.15%","Official annual estimate"
"83","Haiti","11,112,945","July 1, 2018","0.15%","UN projection"
"84","Greece","10,768,193","January 1, 2017","0.14%","Official estimate"
"85","Burundi","10,681,186","July 1, 2018","0.14%","Official annual projection"
"86","Czech Republic","10,625,449","June 30, 2018","0.14%","Official quarterly estimate"
"87","Portugal","10,291,027","December 31, 2017","0.13%","Official annual estimate"
"88","Dominican Republic","10,266,149","July 1, 2018","0.13%","Official projection"
"89","Jordan","10,257,800","October 10, 2018","0.134%","Official population clock"
"90","Sweden","10,196,177","August 31, 2018","0.13%","Official monthly estimate"
"91","Azerbaijan","9,943,226","August 1, 2018","0.13%","Official estimate"
"92","Hungary","9,771,000","January 1, 2018","0.13%","Official annual estimate"
"93","United Arab Emirates","9,541,615","July 1, 2018","0.12%","UN projection"
"94","Belarus","9,478,200","July 1, 2018","0.12%","Official quarterly estimate"
"95","Honduras","9,012,229","July 1, 2018","0.12%","Official annual projection"
"96","Tajikistan","8,931,000","January 1, 2018","0.12%","Official estimate"
"97","Israel","8,928,300","October 10, 2018","0.117%","Official population clock"
"98","Austria","8,838,171","July 1, 2018","0.12%","Quarterly provisional figure"
"99","Papua New Guinea","8,558,800","July 1, 2018","0.11%","Official annual estimate"
"100","Switzerland","8,508,904","June 30, 2018","0.11%","Official provisional figure"
"101","Sierra Leone","7,719,729","July 1, 2018","0.101%","UN projection"
"–","Hong Kong (China)","7,448,900","July 1, 2018","0.097%","Official estimate"
"102","Togo","7,352,000","July 1, 2018","0.096%","Official annual projection"
"103","Paraguay","7,052,983","January 1, 2018","0.092%","Official estimate"
"104","Bulgaria","7,050,034","December 31, 2017","0.092%","Official estimate"
"105","Serbia","7,001,444","January 1, 2018","0.091%","Official annual estimate"
"106","Laos","6,961,210","July 1, 2018","0.091%","UN projection"
"107","El Salvador","6,643,359","July 1, 2018","0.087%","Official annual projection"
"108","Libya","6,470,956","July 1, 2018","0.085%","UN projection"
"109","Kyrgyzstan","6,309,300","June 1, 2018","0.082%","Official annual estimate"
"110","Nicaragua","6,284,757","July 1, 2018","0.082%","UN projection"
"111","Lebanon","6,093,509","July 1, 2018","0.08%","UN projection"
"112","Turkmenistan","5,851,466","July 1, 2018","0.076%","UN projection"
"113","Denmark","5,789,957","July 1, 2018","0.076%","Official quarterly estimate"
"114","Singapore","5,638,700","June 30, 2018","0.074%","Official estimate"
"115","Finland","5,519,463","August 31, 2018","0.072%","Official monthly estimate"
"116","Slovakia","5,443,120","January 1, 2018","0.071%","Official estimate"
"117","Republic of the Congo","5,399,895","July 1, 2018","0.071%","UN projection"
"118","Norway","5,312,343","July 1, 2018","0.069%","Official quarterly estimate"
"119","Eritrea","5,187,948","July 1, 2018","0.068%","UN projection"
"120","Costa Rica","5,003,393","June 30, 2018","0.065%","Official annual projection"
"121","New Zealand","4,910,120","October 10, 2018","0.0641%","Official population clock"
"122","Ireland","4,857,000","April 1, 2018","0.063%","Official estimate"
"123","Palestinian Authority","4,780,978","December 1, 2017","0.062%","Official census result"
"124","Central African Republic","4,737,423","July 1, 2018","0.062%","UN projection"
"125","Oman","4,651,706","September 29, 2018","0.061%","Official estimate"
"126","Liberia","4,382,387","July 1, 2018","0.057%","Official projection"
"127","Kuwait","4,226,920","January 1, 2018","0.055%","Official annual estimate"
"128","Panama","4,158,783","July 1, 2018","0.054%","Official annual projection"
"129","Croatia","4,105,493","December 31, 2017","0.054%","Official estimate"
"130","Mauritania","3,984,233","July 1, 2018","0.052%","Official annual projection"
"131","Georgia","3,729,600","January 1, 2018","0.049%","Official annual estimate"
"132","Moldova","3,550,900","January 1, 2017","0.046%","Official estimate"
"133","Bosnia and Herzegovina","3,511,372","June 30, 2016","0.046%","Official estimate"
"134","Uruguay","3,505,985","June 30, 2018","0.046%","Official annual projection"
"–","Puerto Rico (U.S.)","3,337,177","July 1, 2017","0.044%","Official estimate"
"135","Mongolia","3,230,350","October 10, 2018","0.042%","Official population clock"
"136","Armenia","2,969,800","June 30, 2018","0.039%","Official quarterly estimate"
"137","Albania","2,870,324","January 1, 2018","0.037%","Official annual estimate"
"138","Lithuania","2,797,184","October 1, 2018","0.037%","Monthly official estimate"
"139","Jamaica","2,728,864","December 31, 2017","0.036%","Official estimate"
"140","Qatar","2,561,643","August 31, 2018","0.033%","Monthly official estimate"
"141","Namibia","2,413,643","July 1, 2018","0.032%","Official projection"
"142","Botswana","2,302,878","July 1, 2018","0.03%","Official annual projection"
"143","Lesotho","2,263,010","July 1, 2018","0.03%","UN projection"
"144","The Gambia","2,163,765","July 1, 2018","0.028%","UN projection"
"145","Macedonia","2,075,301","December 31, 2017","0.027%","Official estimate"
"146","Gabon","2,067,561","July 1, 2018","0.027%","UN projection"
"147","Slovenia","2,067,284","April 1, 2018","0.027%","Official estimate"
"148","Latvia","1,923,400","September 1, 2018","0.025%","Monthly official estimate"
"–","Kosovo","1,798,506","December 31, 2017","0.023%","Official annual estimate"
"149","Guinea-Bissau","1,584,763","July 1, 2018","0.021%","Official annual projection"
"150","Bahrain","1,496,300","July 1, 2018","0.02%","Official annual projection"
"151","Trinidad and Tobago","1,356,633","July 1, 2017","0.018%","Official estimate"
"152","Estonia","1,319,133","January 1, 2018","0.017%","Official estimate"
"153","Mauritius","1,264,887","July 1, 2017","0.017%","Official estimate"
"154","East Timor","1,261,407","July 1, 2018","0.016%","Official projection"
"155","Equatorial Guinea","1,222,442","July 4, 2015","0.016%","Preliminary 2015 census result"
"156","Swaziland","1,159,250","July 1, 2018","0.015%","Official projection"
"157","Djibouti","1,049,001","July 1, 2018","0.014%","Official annual projection"
"158","Fiji","884,887","September 17, 2017","0.012%","Official census result"
"159","Cyprus","854,800","December 31, 2016","0.011%","Official estimate"
"160","Comoros","850,688","July 1, 2018","0.011%","Official estimate"
"161","Guyana","782,225","July 1, 2018","0.0102%","UN projection"
"162","Bhutan","727,145","May 30, 2017","0.009%","Official census result"
"163","Solomon Islands","667,044","July 1, 2018","0.0087%","Official annual projection"
"–","Macau (China)","658,900","June 30, 2018","0.0086%","Official quarterly estimate"
"164","Montenegro","622,359","January 1, 2018","0.0081%","Official estimate"
"165","Luxembourg","602,005","January 1, 2018","0.0079%","Official estimate"
"166","Suriname","568,301","July 1, 2018","0.0074%","UN projection"
"–","Western Sahara","567,421","July 1, 2018","0.0074%","UN projection"
"167","Cape Verde","544,081","July 1, 2018","0.0071%","Official annual projection"
"168","Malta","475,701","December 31, 2017","0.0062%","Official estimate"
"–","Transnistria","470,600","July 1, 2016","0.0061%","Official estimate"
"169","Brunei","422,678","July 1, 2016","0.0055%","Official estimate"
"170","Belize","395,882","April 1, 2018","0.0052%","Official estimate"
"171","Bahamas","381,320","July 1, 2018","0.005%","Official annual projection"
"172","Maldives","378,114","December 31, 2017","0.0049%","Official annual estimate"
"173","Iceland","353,070","June 30, 2018","0.0046%","Official quarterly estimate"
"–","Northern Cyprus","335,455","July 1, 2016","0.0044%","Official estimate"
"174","Vanuatu","304,500","July 1, 2018","0.004%","Official annual estimate"
"175","Barbados","286,388","July 1, 2018","0.0037%","UN projection"
"–","New Caledonia (France)","278,500","January 1, 2017","0.0036%","Official annual estimate"
"–","French Polynesia (France)","275,918","August 17, 2017","0.0036%","2017 census results"
"–","Abkhazia","240,705","February 28, 2011","0.0031%","2011 census result"
"176","Samoa","199,052","July 1, 2018","0.0026%","Official projection"
"177","São Tomé and Príncipe","197,700","July 1, 2017","0.0026%","Official estimate"
"178","Saint Lucia","179,667","July 1, 2018","0.0023%","UN projection"
"–","Guam (U.S.)","172,400","July 1, 2018","0.0023%","Official annual estimate"
"–","Curaçao (Netherlands)","160,337","January 1, 2017","0.0021%","Official annual estimate"
"–","Artsakh","145,053","December 1, 2015","0.0019%","2015 census result"
"179","Kiribati","120,100","July 1, 2018","0.0016%","Official annual estimate"
"–","Aruba (Netherlands)","111,350","March 31, 2018","0.0015%","Official quarterly estimate"
"180","Saint Vincent and the Grenadines","109,557","July 1, 2015","0.0014%","Official estimate"
"181","Federated States of Micronesia","105,300","July 1, 2018","0.0014%","Official annual estimate"
"–","United States Virgin Islands (U.S.)","104,914","July 1, 2018","0.0014%","UN projection"
"–","Jersey (UK)","104,200","December 31, 2016","0.0014%","Official estimate"
"182","Grenada","103,328","May 12, 2011","0.0013%","2011 census result"
"183","Tonga","100,651","November 30, 2016","0.0013%","2016 census result"
"184","Seychelles","94,205","December 31, 2016","0.0012%","Official estimate"
"185","Antigua and Barbuda","86,295","May 27, 2011","0.0011%","Preliminary 2011 census result"
"–","Isle of Man (UK)","83,314","April 24, 2016","0.0011%","2016 census result"
"186","Andorra","78,264","December 31, 2016","0.001%","Official estimate"
"187","Dominica","71,293","May 14, 2011","0.00093%","Preliminary 2011 census result"
"–","Cayman Islands (UK)","64,420","March 31, 2018","0.00084%","Official estimate"
"–","Bermuda (UK)","63,779","May 21, 2016","0.00083%","2016 Census Preliminary Report"
"–","Guernsey (UK)","62,723","March 31, 2016","0.00082%","Official estimate"
"–","American Samoa (U.S.)","56,700","July 1, 2018","0.00074%","Official annual estimate"
"–","Northern Mariana Islands (U.S.)","56,200","July 1, 2018","0.00073%","Official annual estimate"
"–","Greenland (Denmark)","56,025","July 1, 2018","0.00073%","Official estimate"
"188","Marshall Islands","55,500","July 1, 2018","0.00072%","Official annual estimate"
"–","South Ossetia","53,532","October 15, 2015","0.0007%","Preliminary 2015 census result"
"–","Faroe Islands (Denmark)","51,258","August 1, 2018","0.00067%","Monthly official estimate"
"189","Saint Kitts and Nevis","46,204","May 15, 2011","0.0006%","2011 census result"
"–","Sint Maarten (Netherlands)","39,410","January 1, 2016","0.00051%","Official estimate"
"190","Monaco","38,300","December 31, 2017","0.0005%","Official annual estimate"
"191","Liechtenstein","38,111","December 31, 2017","0.0005%","Official semi annual estimate"
"–","Turks and Caicos Islands (UK)","37,910","July 1, 2016","0.0005%","Official estimate"
"–","Saint-Martin (France)","36,457","January 1, 2015","0.00048%","Official estimate"
"–","Gibraltar (UK)","33,573","December 31, 2015","0.00044%","Official estimate"
"192","San Marino","33,344","May 31, 2018","0.00044%","Monthly official estimate"
"–","British Virgin Islands (UK)","28,514","July 1, 2013","0.00037%","Official estimate"
"–","Cook Islands (NZ)","18,100","December 1, 2016","0.00024%","2016 Census Preliminary Report"
"193","Palau","17,900","July 1, 2018","0.00023%","Official annual estimate"
"–","Anguilla (UK)","13,452","May 11, 2011","0.00018%","Preliminary 2011 census result"
"–","Wallis and Futuna (France)","11,700","July 1, 2018","0.00015%","Official annual estimate"
"194","Tuvalu","10,640","November 4, 2012","0.00014%","2012 census result"
"195","Nauru","10,084","October 30, 2011","0.00013%","2011 census result"
"–","Saint Barthélemy (France)","9,417","January 1, 2015","0.00012%","Official estimate"
"–","Saint Pierre and Miquelon (France)","6,286","January 1, 2015","0.000082%","Official estimate"
"–","Saint Helena, Ascensionand Tristan da Cunha (UK)","5,633","February 7, 2016","0.000074%","2016 census result"
"–","Montserrat (UK)","4,922","May 12, 2011","0.000064%","2011 census result"
"–","Falkland Islands (UK)","3,198","October 9, 2016","0.000042%","2016 census result"
"–","Christmas Island (Australia)","1,843","August 9, 2016","0.000024%","2016 census result"
"–","Norfolk Island (Australia)","1,748","August 9, 2016","0.000023%","2016 census result"
"–","Niue (NZ)","1,611","September 10, 2011","0.000021%","2011 census result"
"–","Tokelau (NZ)","1,499","October 18, 2016","0.000020%","2016 census result"
"196","Vatican City","800","January 1, 2014","0.000010%","Official estimate"
"–","Cocos (Keeling) Islands (Australia)","544","August 9, 2016","0.0000071%","2016 census result"
"–","Pitcairn Islands (UK)","50","January 1, 2018","0.00000065%","Official estimate"
